Province/State,Country/Region,Last Update,Confirmed,Recovered,Deaths,Date_last_updated,lat,lon
河南洛阳,China,11/02/2020 14:22,28,2,0,2020-02-11 14:22:13,34.683609999999994,112.45361000000001
河南焦作,China,11/02/2020 14:22,28,1,1,2020-02-11 14:22:13,35.2075729,113.2533977
河南开封,China,11/02/2020 14:22,25,1,0,2020-02-11 14:22:13,34.796110600000006,114.34720379999999
河南鹤壁,China,11/02/2020 14:22,18,3,0,2020-02-11 14:22:13,35.89917,114.1925
河南濮阳,China,11/02/2020 14:22,11,1,0,2020-02-11 14:22:13,35.705059999999996,115.01409
河南三门峡,China,11/02/2020 14:22,7,3,0,2020-02-11 14:22:13,34.7678842,111.1908398
河南济源示范区,China,11/02/2020 14:22,4,0,0,2020-02-11 14:22:13,34.0,113.66667
河南地区待确认,China,11/02/2020 14:22,0,8,2,2020-02-11 14:22:13,34.0,113.66667
湖南长沙,China,11/02/2020 14:22,219,39,0,2020-02-11 14:22:13,28.1979483,112.97133000000001
湖南岳阳,China,11/02/2020 14:22,134,21,1,2020-02-11 14:22:13,29.324720000000003,113.302
湖南邵阳,China,11/02/2020 14:22,91,22,0,2020-02-11 14:22:13,27.239384499999996,111.45895759999999
湖南常德,China,11/02/2020 14:22,73,15,0,2020-02-11 14:22:13,29.167409999999997,111.70768999999999
湖南娄底,China,11/02/2020 14:22,69,12,0,2020-02-11 14:22:13,27.752933000000002,111.67638400000001
湖南株洲,China,11/02/2020 14:22,68,11,0,2020-02-11 14:22:13,27.839498300000002,113.1482168
湖南益阳,China,11/02/2020 14:22,54,16,0,2020-02-11 14:22:13,28.6,112.33333
湖南衡阳,China,11/02/2020 14:22,45,16,0,2020-02-11 14:22:13,26.9018019,112.60585900000001
湖南永州,China,11/02/2020 14:22,42,13,0,2020-02-11 14:22:13,26.451725899999996,111.60312809999999
湖南怀化,China,11/02/2020 14:22,39,15,0,2020-02-11 14:22:13,27.554599,109.96415659999998
湖南郴州,China,11/02/2020 14:22,33,13,0,2020-02-11 14:22:13,25.7953089,113.0287294
湖南湘潭,China,11/02/2020 14:22,32,11,0,2020-02-11 14:22:13,27.833992699999996,112.935675
湖南湘西自治州,China,11/02/2020 14:22,8,6,0,2020-02-11 14:22:13,27.66667,111.75
湖南张家界,China,11/02/2020 14:22,5,3,0,2020-02-11 14:22:13,29.37278,110.68656999999999
安徽合肥,China,11/02/2020 14:22,150,22,1,2020-02-11 14:22:13,31.7515244,117.3318937
安徽蚌埠,China,11/02/2020 14:22,134,2,3,2020-02-11 14:22:13,32.9176422,117.38256729999999
安徽阜阳,China,11/02/2020 14:22,132,17,0,2020-02-11 14:22:13,32.892676300000005,115.80900009999999
安徽亳州,China,11/02/2020 14:22,92,7,0,2020-02-11 14:22:13,33.8579594,115.772453
安徽安庆,China,11/02/2020 14:22,80,15,0,2020-02-11 14:22:13,30.5358685,117.10482140000002
安徽六安,China,11/02/2020 14:22,59,3,0,2020-02-11 14:22:13,31.738348699999996,116.51422520000001
安徽宿州,China,11/02/2020 14:22,33,4,0,2020-02-11 14:22:13,31.3016935,120.5810725
安徽马鞍山,China,11/02/2020 14:22,32,4,0,2020-02-11 14:22:13,31.68579,118.51008
安徽芜湖,China,11/02/2020 14:22,31,4,0,2020-02-11 14:22:13,31.3536127,118.4277477
安徽铜陵,China,11/02/2020 14:22,27,7,0,2020-02-11 14:22:13,30.934562800000002,117.8089039
安徽淮南,China,11/02/2020 14:22,24,6,0,2020-02-11 14:22:13,32.5866826,117.0130019
安徽淮北,China,11/02/2020 14:22,24,5,0,2020-02-11 14:22:13,33.9566098,116.79289159999999
安徽池州,China,11/02/2020 14:22,15,3,0,2020-02-11 14:22:13,30.667108799999998,117.4859885
安徽滁州,China,11/02/2020 14:22,12,4,0,2020-02-11 14:22:13,32.2545901,118.3280486
安徽黄山,China,11/02/2020 14:22,9,1,0,2020-02-11 14:22:13,30.134392100000003,118.1612689
安徽宣城,China,11/02/2020 14:22,6,4,0,2020-02-11 14:22:13,30.941254100000002,118.75401670000001
江西南昌,China,11/02/2020 14:22,195,46,0,2020-02-11 14:22:13,28.6792695,115.8885987
江西上饶,China,11/02/2020 14:22,111,13,0,2020-02-11 14:22:13,28.450121999999997,117.9724453
江西新余,China,11/02/2020 14:22,110,22,0,2020-02-11 14:22:13,28.6199533,115.97581029999999
江西九江,China,11/02/2020 14:22,101,13,0,2020-02-11 14:22:13,29.727536100000002,115.99131340000001
江西宜春,China,11/02/2020 14:22,83,10,0,2020-02-11 14:22:13,27.797155100000005,114.3772501
江西赣州,China,11/02/2020 14:22,72,7,1,2020-02-11 14:22:13,25.8222423,114.91567109999998
江西抚州,China,11/02/2020 14:22,67,9,0,2020-02-11 14:22:13,27.9957951,116.353245
江西萍乡,China,11/02/2020 14:22,26,1,0,2020-02-11 14:22:13,27.625606599999998,113.84573870000001
江西吉安,China,11/02/2020 14:22,19,4,0,2020-02-11 14:22:13,27.1144788,114.9835744
江西鹰潭,China,11/02/2020 14:22,14,1,0,2020-02-11 14:22:13,28.2428093,117.0278246
江西景德镇,China,11/02/2020 14:22,5,1,0,2020-02-11 14:22:13,29.2909294,117.204121
江西赣江新区,China,11/02/2020 14:22,1,0,0,2020-02-11 14:22:13,27.66667,115.66667
江苏南京,China,11/02/2020 14:22,84,22,0,2020-02-11 14:22:13,32.060973600000004,118.79164579999998
江苏苏州,China,11/02/2020 14:22,80,13,0,2020-02-11 14:22:13,31.3016935,120.5810725
江苏徐州,China,11/02/2020 14:22,63,10,0,2020-02-11 14:22:13,34.2665541,117.18097409999999
江苏淮安,China,11/02/2020 14:22,46,5,0,2020-02-11 14:22:13,33.5897018,119.02119429999999
江苏无锡,China,11/02/2020 14:22,45,4,0,2020-02-11 14:22:13,31.577626399999996,120.29513109999999
江苏连云港,China,11/02/2020 14:22,37,4,0,2020-02-11 14:22:13,34.609263299999995,119.1695305
江苏南通,China,11/02/2020 14:22,35,5,0,2020-02-11 14:22:13,31.9827896,120.8904588
江苏泰州,China,11/02/2020 14:22,34,5,0,2020-02-11 14:22:13,32.4614944,119.913445
江苏常州,China,11/02/2020 14:22,31,6,0,2020-02-11 14:22:13,31.8129864,119.96920449999999
江苏扬州,China,11/02/2020 14:22,18,3,0,2020-02-11 14:22:13,32.3926973,119.43657590000001
江苏盐城,China,11/02/2020 14:22,18,3,0,2020-02-11 14:22:13,33.3939707,120.1349541
江苏宿迁,China,11/02/2020 14:22,12,3,0,2020-02-11 14:22:13,33.9564492,118.2945375
江苏镇江,China,11/02/2020 14:22,12,1,0,2020-02-11 14:22:13,32.2139599,119.45801200000001
重庆万州区,China,11/02/2020 14:22,98,11,1,2020-02-11 14:22:13,30.7136179,108.3926525
重庆江北区,China,11/02/2020 14:22,25,1,0,2020-02-11 14:22:13,29.621911800000003,106.6818547
重庆云阳县,China,11/02/2020 14:22,21,10,0,2020-02-11 14:22:13,31.0333358,108.86249840000002
重庆渝中区,China,11/02/2020 14:22,20,1,0,2020-02-11 14:22:13,29.555552000000002,106.56522
重庆九龙坡区,China,11/02/2020 14:22,20,1,1,2020-02-11 14:22:13,29.436042999999998,106.36034099999999
重庆垫江县,China,11/02/2020 14:22,20,1,0,2020-02-11 14:22:13,30.259256,107.432254
重庆忠县,China,11/02/2020 14:22,19,6,0,2020-02-11 14:22:13,30.337501,107.91041399999999
重庆开州区,China,11/02/2020 14:22,18,6,0,2020-02-11 14:22:13,31.1626649,108.38854930000001
重庆合川区,China,11/02/2020 14:22,18,3,0,2020-02-11 14:22:13,29.9746891,106.27223799999999
重庆两江新区,China,11/02/2020 14:22,16,0,0,2020-02-11 14:22:13,30.08333,107.83333
重庆长寿区,China,11/02/2020 14:22,16,3,0,2020-02-11 14:22:13,29.956915999999996,107.135375
重庆渝北区,China,11/02/2020 14:22,15,2,0,2020-02-11 14:22:13,29.853037899999997,106.79081210000001
重庆綦江区,China,11/02/2020 14:22,15,0,0,2020-02-11 14:22:13,28.8962474,106.7298355
重庆石柱县,China,11/02/2020 14:22,14,2,0,2020-02-11 14:22:13,30.001937599999998,108.1091155
重庆奉节县,China,11/02/2020 14:22,14,1,0,2020-02-11 14:22:13,31.0242413,109.4599618
