Province/State,Country/Region,Last Update,Confirmed,Recovered,Deaths,Date_last_updated,lat,lon
湖北武汉,China,10/02/2020 23:05,16902,1044,681,2020-02-10 23:05:11,30.58333,114.26667
湖北孝感,China,10/02/2020 23:05,2541,81,33,2020-02-10 23:05:11,30.9203436,113.9496516
湖北黄冈,China,10/02/2020 23:05,2252,189,45,2020-02-10 23:05:11,30.45143,114.87035
湖北随州,China,10/02/2020 23:05,1049,23,10,2020-02-10 23:05:11,31.6921655,113.375823
湖北荆州,China,10/02/2020 23:05,1045,46,15,2020-02-10 23:05:11,30.3543831,112.1880958
湖北襄阳,China,10/02/2020 23:05,1019,42,9,2020-02-10 23:05:11,32.0422,112.14479
湖北黄石,China,10/02/2020 23:05,805,67,3,2020-02-10 23:05:11,30.24706,115.04814
湖北宜昌,China,10/02/2020 23:05,749,43,8,2020-02-10 23:05:11,30.77135,111.32146
湖北鄂州,China,10/02/2020 23:05,725,48,24,2020-02-10 23:05:11,30.4079084,114.8784297
湖北荆门,China,10/02/2020 23:05,641,63,20,2020-02-10 23:05:11,31.0348589,112.1973384
湖北咸宁,China,10/02/2020 23:05,507,44,4,2020-02-10 23:05:11,29.66609,114.26389
湖北十堰,China,10/02/2020 23:05,481,46,0,2020-02-10 23:05:11,32.45269,110.56081
湖北仙桃,China,10/02/2020 23:05,416,16,7,2020-02-10 23:05:11,30.3768183,113.4418416
湖北天门,China,10/02/2020 23:05,217,10,10,2020-02-10 23:05:11,30.6635516,113.1616191
湖北恩施州,China,10/02/2020 23:05,187,24,0,2020-02-10 23:05:11,30.1980965,109.6755462
湖北潜江,China,10/02/2020 23:05,85,3,2,2020-02-10 23:05:11,30.35527,112.79923
湖北神农架,China,10/02/2020 23:05,10,6,0,2020-02-10 23:05:11,31.58339,110.497198
湖北地区待确认,China,10/02/2020 23:05,0,0,0,2020-02-10 23:05:11,31.0,112.25
广东深圳,China,10/02/2020 23:05,369,56,0,2020-02-10 23:05:11,22.555454,114.0543297
广东广州,China,10/02/2020 23:05,314,43,0,2020-02-10 23:05:11,23.1301964,113.2592945
广东珠海,China,10/02/2020 23:05,85,4,0,2020-02-10 23:05:11,22.27694,113.56778
广东佛山,China,10/02/2020 23:05,70,4,0,2020-02-10 23:05:11,23.02677,113.13148
广东东莞,China,10/02/2020 23:05,60,3,0,2020-02-10 23:05:11,23.0444712,113.7465512
广东中山,China,10/02/2020 23:05,56,14,0,2020-02-10 23:05:11,21.31992,110.5723
广东惠州,China,10/02/2020 23:05,52,4,0,2020-02-10 23:05:11,23.1060862,114.4141105
广东汕头,China,10/02/2020 23:05,25,6,0,2020-02-10 23:05:11,23.356377,116.6775918
广东湛江,China,10/02/2020 23:05,21,7,0,2020-02-10 23:05:11,21.28145,110.34271
广东江门,China,10/02/2020 23:05,20,2,0,2020-02-10 23:05:11,22.5766294,113.079047
广东肇庆,China,10/02/2020 23:05,15,4,1,2020-02-10 23:05:11,23.0515551,112.4728451
广东梅州,China,10/02/2020 23:05,13,4,0,2020-02-10 23:05:11,24.3053552,116.1177436
广东阳江,China,10/02/2020 23:05,13,1,0,2020-02-10 23:05:11,21.85563,111.96272
广东茂名,China,10/02/2020 23:05,10,1,0,2020-02-10 23:05:11,21.6656562,110.9196315
广东清远,China,10/02/2020 23:05,10,5,0,2020-02-10 23:05:11,23.7,113.03333
广东揭阳,China,10/02/2020 23:05,7,1,0,2020-02-10 23:05:11,23.5418,116.36581
广东韶关,China,10/02/2020 23:05,6,3,0,2020-02-10 23:05:11,24.8,113.58333
广东潮州,China,10/02/2020 23:05,5,0,0,2020-02-10 23:05:11,23.6566146,116.6205482
广东汕尾,China,10/02/2020 23:05,5,1,0,2020-02-10 23:05:11,22.7893675,115.3721503
广东河源,China,10/02/2020 23:05,3,1,0,2020-02-10 23:05:11,23.73333,114.68333
广东地区待确认,China,10/02/2020 23:05,0,1,0,2020-02-10 23:05:11,23.5,113.25
浙江温州,China,10/02/2020 23:05,464,99,0,2020-02-10 23:05:11,27.9958689,120.6915792
浙江杭州,China,10/02/2020 23:05,155,41,0,2020-02-10 23:05:11,30.2489634,120.2052342
浙江宁波,China,10/02/2020 23:05,149,15,0,2020-02-10 23:05:11,29.8622194,121.6203873
浙江台州,China,10/02/2020 23:05,141,35,0,2020-02-10 23:05:11,28.6581723,121.4163876
浙江金华,China,10/02/2020 23:05,53,16,0,2020-02-10 23:05:11,29.1080344,119.6486487
浙江绍兴,China,10/02/2020 23:05,41,10,0,2020-02-10 23:05:11,29.9992425,120.576854
浙江嘉兴,China,10/02/2020 23:05,40,5,0,2020-02-10 23:05:11,30.6509396,120.7831656
浙江丽水,China,10/02/2020 23:05,17,5,0,2020-02-10 23:05:11,28.4704064,119.9184297
浙江衢州,China,10/02/2020 23:05,15,5,0,2020-02-10 23:05:11,28.973887,118.8540924
浙江湖州,China,10/02/2020 23:05,10,3,0,2020-02-10 23:05:11,30.8942995,120.0851114
浙江舟山,China,10/02/2020 23:05,7,5,0,2020-02-10 23:05:11,29.9873344,122.2030363
河南信阳,China,10/02/2020 23:05,220,28,0,2020-02-10 23:05:11,32.09583,114.12028
河南南阳,China,10/02/2020 23:05,134,28,2,2020-02-10 23:05:11,32.99472,112.53278
河南郑州,China,10/02/2020 23:05,130,36,0,2020-02-10 23:05:11,34.7591877,113.6524076
河南驻马店,China,10/02/2020 23:05,123,25,0,2020-02-10 23:05:11,32.97944,114.02944
河南商丘,China,10/02/2020 23:05,83,9,0,2020-02-10 23:05:11,34.417097,115.6508622
